Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00045536,-0.012468,0.054611,0,0,0,0.3218,0.0010882,-6.6084E-06,7.9122E-06,0.00080227,3.9237E-06,0.0013151,0,0,0,0,0,0,package://Exomy_URDF/meshes/base_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Exomy_URDF/meshes/base_link.STL,,P01_Chassis-1;P02_Drill-1;P13_Port_Cover-1;P03_Bogie_Bearing-1;P03_Bogie_Bearing-2;P03_Bogie_Bearing-3;P11_Top-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Mast,3.66089460873017E-10,0.08233304315001,-0.00290010879314957,0,0,0,0.0635336585695427,0.000152420978940258,-9.68556684554813E-11,-1.73821809057202E-11,1.17584014785884E-05,5.60852483282308E-06,0.000152302280544561,0,0,0,0,0,0,package://Exomy_URDF/meshes/Mast.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://Exomy_URDF/meshes/Mast.STL,,Mast-1;MastLaag-1,Origin_Mast_Joint,,Mast_Joint,fixed,0,-0.05,0.108,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
3D_Cam,1.1394E-05,-0.00013598,0.011556,0,0,0,0.10791,7.7102E-06,-2.6172E-10,-1.7931E-08,7.0257E-05,4.9224E-08,7.1255E-05,0,0,0,0,0,0,package://Exomy_URDF/meshes/3D_Cam.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://Exomy_URDF/meshes/3D_Cam.STL,,RealSense_D435-1,Origin_3D_Cam_Joint,,3D_Cam_Joint,fixed,0,0.18695,-0.010942,0.50615,0,0,Mast,0,0,0,,,,,,,,,,,,
Tracking_Cam,0.00084895,9.5451E-06,-0.007004,0,0,0,0.015352,9.4142E-07,4.366E-09,-1.3466E-08,1.324E-05,-1.906E-09,1.3936E-05,0,0,0,0,0,0,package://Exomy_URDF/meshes/Tracking_Cam.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Exomy_URDF/meshes/Tracking_Cam.STL,,Intel_RealSense_Tracking_Camera_T265-1,Origin_Tracking_Cam_Joint,Axis_Tracking_Cam_Joint,Tracking_Cam_Joint,fixed,0,0.096086,0.026963,0.22974,0,0,Mast,0,0,0,,,,,,,,,,,,
Right_Bogie,-5.5394E-09,0.001854,-0.024649,0,0,0,0.094548,2.3035E-05,2.7556E-11,-8.4318E-13,0.00012309,4.1834E-07,0.00011372,0,0,0,0,0,0,package://Exomy_URDF/meshes/Right_Bogie.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Exomy_URDF/meshes/Right_Bogie.STL,,A05_Bogie-3/P17_Bogie_Cable_Cover-1;A05_Bogie-3/P19_Bogie-2;A05_Bogie-3/Parallax-Servo-ASM-2;A05_Bogie-3/Parallax-Servo-ASM-3,Origin_Right_Bogie_Joint,Rear_Bogie_Axis,Right_Bogie_Joint,revolute,-0.064,-0.055,0.0247,-1.5708,0,-1.5708,base_link,-1,0,0,0,0,-0.47,0.47,,,,,,,,
CR_Steer,0.01203363471761,-0.0406229138422982,-0.000222359376198283,0,0,0,0.0721879173626643,3.37876859422885E-05,4.74139030421875E-06,-8.07843941765975E-09,1.59707176313992E-05,1.40508548795602E-07,4.11148929986377E-05,0,0,0,0,0,0,package://Exomy_URDF/meshes/CR_Steer.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Exomy_URDF/meshes/CR_Steer.STL,,A05_Bogie-3/A04_Wheel_Assembly-1/P28_Wheel_Bracket_Split-1;A05_Bogie-3/A04_Wheel_Assembly-1/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-3/A04_Wheel_Assembly-1/Parallax-Servo-ASM-1,Origin_CR_Steer_Joint,MR_Steer_Axis,CR_Steer_Joint,revolute,-0.08,0.016586,-0.039776,3.1416,1.5708,0,Right_Bogie,0,1,0,0.27,5.2,-1.57,1.57,,,,,,,,
CR_Drive,-0.016065,-0.00015627,-0.00020897,0,0,0,0.059839,7.9779E-05,-7.7915E-09,-7.1726E-08,5.1523E-05,3.9137E-07,5.1536E-05,0,0,0,0,0,0,package://Exomy_URDF/meshes/CR_Drive.STL,0.96863,0.87843,0.6,1,0,0,0,0,0,0,package://Exomy_URDF/meshes/CR_Drive.STL,,A05_Bogie-3/A04_Wheel_Assembly-1/P30_Wheel-1;A05_Bogie-3/A04_Wheel_Assembly-1/P32_Wheel_Fixing_Plate_U_Shape-1,Origin_CR_Drive_Joint,MR_Drive_Axis,CR_Drive_Joint,continuous,-0.026386,-0.063776,0,3.1416,0,3.1416,CR_Steer,1,0,0,0.27,5.2,,,,,,,,,,
FR_steer,0.0119629306207104,-0.0406897111505116,-0.000220177394379573,0,0,0,0.0714737501116121,3.32440932757159E-05,4.64777116749978E-06,-7.91976339595232E-09,1.57679798308961E-05,1.37753534821621E-07,4.04701347498821E-05,0,0,0,0,0,0,package://Exomy_URDF/meshes/FR_steer.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Exomy_URDF/meshes/FR_steer.STL,,A05_Bogie-3/A04_Wheel_Assembly-2/P28_Wheel_Bracket_Split-1;A05_Bogie-3/A04_Wheel_Assembly-2/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-3/A04_Wheel_Assembly-2/Parallax-Servo-ASM-1,Origin_FR_steer_Joint,FR_Steer_Axis,FR_steer_Joint,revolute,0.08,0.016586,-0.039776,3.1416,1.5708,0,Right_Bogie,0,1,0,0.27,5.2,-1.57,1.57,,,,,,,,
FR_Drive,-0.016065,-0.00015627,-0.00020897,0,0,0,0.059839,7.9779E-05,-7.7915E-09,-7.1726E-08,5.1523E-05,3.9137E-07,5.1536E-05,0,0,0,0,0,0,package://Exomy_URDF/meshes/FR_Drive.STL,0.96863,0.87843,0.6,1,0,0,0,0,0,0,package://Exomy_URDF/meshes/FR_Drive.STL,,A05_Bogie-3/A04_Wheel_Assembly-2/P30_Wheel-1;A05_Bogie-3/A04_Wheel_Assembly-2/P32_Wheel_Fixing_Plate_U_Shape-1,Origin_FR_Drive_Joint,FR_Drive_Axis,FR_Drive_Joint,continuous,-0.026386,-0.063776,0,3.1416,0,3.1416,FR_steer,1,0,0,0.27,5.2,,,,,,,,,,
Left_Bogie,-5.53942688247266E-09,-0.00185398288266573,0.024649299715712,0,0,0,0.0945481157691983,2.3035215404404E-05,-2.75560711362092E-11,8.43178696343352E-13,0.000123085331415863,4.18340958497994E-07,0.000113717182054983,0,0,0,0,0,0,package://Exomy_URDF/meshes/Left_Bogie.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Exomy_URDF/meshes/Left_Bogie.STL,,A05_Bogie-2/P17_Bogie_Cable_Cover-1;A05_Bogie-2/P19_Bogie-2;A05_Bogie-2/Parallax-Servo-ASM-2;A05_Bogie-2/Parallax-Servo-ASM-3,Origin_Left_Bogie_Joint,Left_Bogie_Axis,Left_Bogie_Joint,revolute,0.064,-0.055,0.0247,1.5708,0,1.5708,base_link,0,0,1,0,0,-0.47,0.47,,,,,,,,
CL_Steer,0.0119629306207103,-0.0406897111505118,-0.000220177394379541,0,0,0,0.0714737501116116,3.32440932757157E-05,4.64777116749992E-06,-7.91976339595595E-09,1.57679798308961E-05,1.37753534821613E-07,4.04701347498818E-05,0,0,0,0,0,0,package://Exomy_URDF/meshes/CL_Steer.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Exomy_URDF/meshes/CL_Steer.STL,,A05_Bogie-2/A04_Wheel_Assembly-2/P28_Wheel_Bracket_Split-1;A05_Bogie-2/A04_Wheel_Assembly-2/Parallax-Servo-ASM-1;A05_Bogie-2/A04_Wheel_Assembly-2/P29_Wheel_Bracket_Fixing_Plate-1,Origin_CL_Steer_Joint,ML_Steer_Axis,CL_Steer_Joint,revolute,0.08,-0.016586,0.039776,3.1416,-1.5708,0,Left_Bogie,0,1,0,0.27,5.2,-1.57,1.57,,,,,,,,
CL_Drive,-0.016065,-0.00015627,-0.00020897,0,0,0,0.059839,7.9779E-05,-7.7915E-09,-7.1726E-08,5.1523E-05,3.9137E-07,5.1536E-05,0,0,0,0,0,0,package://Exomy_URDF/meshes/CL_Drive.STL,0.96863,0.87843,0.6,1,0,0,0,0,0,0,package://Exomy_URDF/meshes/CL_Drive.STL,,A05_Bogie-2/A04_Wheel_Assembly-2/P30_Wheel-1;A05_Bogie-2/A04_Wheel_Assembly-2/P32_Wheel_Fixing_Plate_U_Shape-1,Origin_CL_Drive_Joint,ML_Drive_Axis,CL_Drive_Joint,continuous,-0.026386,-0.063776,0,-3.1416,0,3.1416,CL_Steer,1,0,0,0.27,5.2,,,,,,,,,,
FL_Steer,-0.0120336347176097,-0.0361229138422982,0.00022235937619805,0,0,0,0.0721879173626638,3.37876859422883E-05,-4.74139030421896E-06,-8.07843941766599E-09,1.59707176313992E-05,-1.40508548795604E-07,4.11148929986375E-05,0,0,0,0,0,0,package://Exomy_URDF/meshes/FL_Steer.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://Exomy_URDF/meshes/FL_Steer.STL,,A05_Bogie-2/A04_Wheel_Assembly-1/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-2/A04_Wheel_Assembly-1/Parallax-Servo-ASM-1;A05_Bogie-2/A04_Wheel_Assembly-1/P28_Wheel_Bracket_Split-1,Origin_FL_Steer_Joint,FL_Steer_Axis,FL_Steer_Joint,revolute,-0.08,-0.021086,0.039776,0,1.5708,0,Left_Bogie,0,1,0,0.27,5.2,-1.57,1.57,,,,,,,,
FL_Drive,0.0065655,-0.00015627,0.00020897,0,0,0,0.059839,7.9779E-05,7.7915E-09,-7.1726E-08,5.1523E-05,-3.9137E-07,5.1536E-05,0,0,0,0,0,0,package://Exomy_URDF/meshes/FL_Drive.STL,0.96863,0.87843,0.6,1,0,0,0,0,0,0,package://Exomy_URDF/meshes/FL_Drive.STL,,A05_Bogie-2/A04_Wheel_Assembly-1/P32_Wheel_Fixing_Plate_U_Shape-1;A05_Bogie-2/A04_Wheel_Assembly-1/P30_Wheel-1,Origin_FL_Drive_Joint,FL_Drive_Axis,FL_Drive_Joint,continuous,0.016886,-0.059276,0,3.1416,0,3.1416,FL_Steer,-1,0,0,0.27,5.2,,,,,,,,,,
Rear_Bogie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://Exomy_URDF/meshes/Rear_Bogie.STL,1,1,1,1,0,0,0,0,0,0,package://Exomy_URDF/meshes/Rear_Bogie.STL,,A05_Bogie-1/P17_Bogie_Cable_Cover-1;A05_Bogie-1/Parallax-Servo-ASM-2;A05_Bogie-1/Parallax-Servo-ASM-3;A05_Bogie-1/P19_Bogie-2,Origin_Rear_Bogie_Joint,Rear_Bogie_Axis,Rear_Bogie_Joint,revolute,0,0.084,0.0247,1.5708,0,-3.1416,base_link,0,0,1,0,0,-0.47,0.47,,,,,,,,
RR_Steer,0.0119629306207103,-0.0406897111505123,-0.000220177394379212,0,0,0,0.0714737501116104,3.32440932757152E-05,4.64777116749984E-06,-7.91976339616711E-09,1.5767979830896E-05,1.37753534821875E-07,4.04701347498814E-05,0,0,0,0,0,0,package://Exomy_URDF/meshes/RR_Steer.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Exomy_URDF/meshes/RR_Steer.STL,,A05_Bogie-1/A04_Wheel_Assembly-2/P28_Wheel_Bracket_Split-1;A05_Bogie-1/A04_Wheel_Assembly-2/Parallax-Servo-ASM-1;A05_Bogie-1/A04_Wheel_Assembly-2/P29_Wheel_Bracket_Fixing_Plate-1,Origin_RR_Steer_Joint,RR_Steer_Axis,RR_Steer_Joint,revolute,0.10378,-0.016586,0.078776,0,0,0,Rear_Bogie,0,1,0,0.27,5.2,-1.57,1.57,,,,,,,,
RR_Drive,-0.016065,-0.00015627,-0.00020897,0,0,0,0.059839,7.9779E-05,-7.7915E-09,-7.1726E-08,5.1523E-05,3.9137E-07,5.1536E-05,0,0,0,0,0,0,package://Exomy_URDF/meshes/RR_Drive.STL,0.96863,0.87843,0.6,1,0,0,0,0,0,0,package://Exomy_URDF/meshes/RR_Drive.STL,,A05_Bogie-1/A04_Wheel_Assembly-2/P30_Wheel-1;A05_Bogie-1/A04_Wheel_Assembly-2/P32_Wheel_Fixing_Plate_U_Shape-1,Origin_RR_Drive_Joint,RR_Drive_Axis,RR_Drive_Joint,continuous,-0.026386,-0.063776,0,3.1416,0,3.1416,RR_Steer,1,0,0,0.27,5.2,,,,,,,,,,
RL_Steer,0.012034,-0.040623,-0.00022236,0,0,0,0.072188,3.3788E-05,4.7414E-06,-8.0784E-09,1.5971E-05,1.4051E-07,4.1115E-05,0,0,0,0,0,0,package://Exomy_URDF/meshes/RL_Steer.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Exomy_URDF/meshes/RL_Steer.STL,,A05_Bogie-1/A04_Wheel_Assembly-1/P28_Wheel_Bracket_Split-1;A05_Bogie-1/A04_Wheel_Assembly-1/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-1/A04_Wheel_Assembly-1/Parallax-Servo-ASM-1,Origin_RL_Steer_Joint,RL_Steer_Axis,RL_Steer_Joint,revolute,-0.10378,-0.016586,0.078776,3.1416,0,-3.1416,Rear_Bogie,0,1,0,0.27,5.2,-1.57,1.57,,,,,,,,
RL_Drive,-0.016065,-0.00015627,-0.00020897,0,0,0,0.059839,7.9779E-05,-7.7915E-09,-7.1726E-08,5.1523E-05,3.9137E-07,5.1536E-05,0,0,0,0,0,0,package://Exomy_URDF/meshes/RL_Drive.STL,0.96863,0.87843,0.6,1,0,0,0,0,0,0,package://Exomy_URDF/meshes/RL_Drive.STL,,A05_Bogie-1/A04_Wheel_Assembly-1/P30_Wheel-1;A05_Bogie-1/A04_Wheel_Assembly-1/P32_Wheel_Fixing_Plate_U_Shape-1,Origin_RL_Drive_Joint,RL_Drive_Axis,RL_Drive_Joint,continuous,-0.026386,-0.063776,0,-3.1416,0,3.1416,RL_Steer,1,0,0,0.27,5.2,,,,,,,,,,
